                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                0.85575,                0.70985,                 1.1777,                0.74412,                0.72517,                0.74357,                0.55439,                 1.0823,                 1.0338,                 1.6198,             0.00026186,             0.00026186,             0.00026186
                    102,                0.86768,                0.71048,                 1.1754,                0.72201,                 0.7346,                0.75234,                0.56362,                 1.0889,                 1.0298,                 1.6384,             0.00025007,             0.00025007,             0.00025007
                    103,                0.86096,                0.70342,                 1.1658,                0.73943,                0.72197,                0.75143,                0.55525,                 1.1071,                 1.0301,                 1.6587,             0.00023829,             0.00023829,             0.00023829
                    104,                0.85395,                0.68356,                 1.1589,                0.74189,                 0.7196,                 0.7501,                0.55629,                 1.1038,                 1.0124,                 1.6579,              0.0002265,              0.0002265,              0.0002265
                    105,                0.85475,                0.68716,                 1.1687,                0.74134,                0.70056,                0.74846,                0.55314,                  1.097,                 1.0088,                 1.6481,             0.00021471,             0.00021471,             0.00021471
                    106,                0.86021,                0.68812,                 1.1729,                0.72858,                0.71758,                0.74929,                 0.5607,                 1.0931,                 1.0249,                 1.6449,             0.00020292,             0.00020292,             0.00020292
                    107,                0.85105,                 0.6823,                 1.1651,                0.73683,                0.72179,                0.75751,                0.55969,                 1.0898,                 1.0109,                 1.6329,             0.00019113,             0.00019113,             0.00019113
                    108,                0.86004,                0.68459,                 1.1636,                0.74109,                0.72313,                0.75709,                0.56338,                 1.0901,                 1.0265,                  1.633,             0.00017934,             0.00017934,             0.00017934
                    109,                0.84335,                0.68906,                 1.1622,                0.70877,                0.75922,                0.75527,                0.55366,                 1.0872,                 1.0109,                 1.6245,             0.00016755,             0.00016755,             0.00016755
                    110,                0.84728,                0.67028,                 1.1617,                0.75712,                0.74358,                0.76459,                 0.5706,                 1.0821,                0.99692,                 1.6145,             0.00015576,             0.00015576,             0.00015576
                    111,                 0.8136,                 0.5409,                 1.1545,                0.72852,                0.72028,                0.74452,                0.54939,                 1.0774,                 1.0167,                 1.6245,             0.00014397,             0.00014397,             0.00014397
                    112,                0.79527,                0.51956,                 1.1369,                0.75314,                0.72146,                0.75691,                   0.56,                  1.076,                0.99853,                 1.6213,             0.00013218,             0.00013218,             0.00013218
                    113,                0.79262,                 0.5088,                 1.1401,                0.73488,                0.71221,                0.74983,                0.55712,                 1.0744,                 1.0188,                 1.6257,             0.00012039,             0.00012039,             0.00012039
                    114,                0.77741,                0.51008,                 1.1317,                0.73706,                0.72519,                0.74364,                0.55482,                 1.0855,                  1.004,                 1.6364,              0.0001086,              0.0001086,              0.0001086
                    115,                 0.7833,                0.50128,                 1.1419,                0.73438,                0.74832,                 0.7485,                0.56018,                 1.0788,                0.99813,                 1.6249,             9.6815e-05,             9.6815e-05,             9.6815e-05
                    116,                0.78251,                0.50063,                 1.1375,                0.73779,                0.73621,                0.75054,                0.56149,                 1.0734,                 1.0074,                 1.6268,             8.5026e-05,             8.5026e-05,             8.5026e-05
                    117,                0.76787,                0.48646,                 1.1307,                0.73335,                 0.7431,                0.75584,                0.56563,                 1.0774,                 1.0011,                 1.6321,             7.3236e-05,             7.3236e-05,             7.3236e-05
                    118,                0.77074,                0.49844,                 1.1296,                0.74434,                0.74749,                0.75448,                0.56148,                 1.0838,                0.99732,                 1.6448,             6.1447e-05,             6.1447e-05,             6.1447e-05
                    119,                0.76049,                0.48867,                  1.117,                0.74394,                0.74131,                0.75484,                0.56203,                 1.0825,                 1.0104,                 1.6468,             4.9658e-05,             4.9658e-05,             4.9658e-05
                    120,                0.76237,                0.48164,                 1.1227,                  0.747,                 0.7319,                0.75399,                0.56201,                 1.0781,                   1.02,                 1.6401,             3.7869e-05,             3.7869e-05,             3.7869e-05
